project_index,bldg_proj_type,mat_group,mui,eci
106,New Construction,Doors and frames,2.6116156004396243,6.396996752802997
106,New Construction,Glazing,8.380481633477824,11.470789810992404
106,New Construction,Gypsum,54.541099375330035,15.544415390734851
106,New Construction,Insulation,4.687383288977687,11.329089339710194
106,New Construction,Other metals,0.8250679336377449,4.668074932595861
106,New Construction,Roofing and waterproofing,8.661596857512656,5.515120589099774
106,New Construction,Steel,91.5067375322009,166.78945698030802
106,New Construction,Synthetic composites,2.521481305535552,3.519329600050962
106,New Construction,Wood and composites,144.83663139477034,58.24328272222231
109,New Construction,Acoustic ceilings,0.3022400952318033,0.6191146251708558
109,New Construction,Adhesives and sealants,0.02774723124262295,0.07074140386545165
109,New Construction,Air and vapor barriers,0.44679731729508193,0.3555888022682787
109,New Construction,Aluminum,1.21972844841459,7.378391504878549
109,New Construction,Cladding,5.19900927559082,22.05806992844177
109,New Construction,Coatings,1.565272101092131,12.83602055587764
109,New Construction,Concrete,1055.6697106023116,218.7212145395075
109,New Construction,Doors and frames,0.5416335646896722,2.3323461542782264
109,New Construction,Flooring and tile,0.19631514707377049,0.4607679891783442
109,New Construction,Glazing,2.911328825191803,3.5596201357263606
109,New Construction,Gypsum,14.5869301323,3.2720938664679573
109,New Construction,Insulation,4.841273863967213,295.4947829391786
109,New Construction,Masonry,93.17554103259688,13.125959173603038
109,New Construction,Other metals,0.5229679000081967,3.022754462047377
109,New Construction,Roofing and waterproofing,3.8037250146229504,3.4187446647816393
109,New Construction,Steel,204.37755200096933,358.3446241819777
109,New Construction,Windows and frames,0.0016460709540983606,0.016460709540983606
109,New Construction,Wood and composites,0.11014576276,0.04774780407731689
11,New Construction,Acoustic ceilings,0.6241141297017544,0.9658434750862281
11,New Construction,Aluminum,2.8810885213378947,25.355502498531678
11,New Construction,Cladding,0.22800247075429825,0.17183865225395967
11,New Construction,Coatings,0.3201075520530702,1.136326990850121
11,New Construction,Concrete,1316.688755491558,183.54459509759727
11,New Construction,Doors and frames,1.5881695734869299,2.6827032811260176
11,New Construction,Flooring and tile,0.5146745444736842,0.13484473065210525
11,New Construction,Glazing,7.1431081707964905,9.24817450498271
11,New Construction,Gypsum,23.45552037565342,4.761746410034844
11,New Construction,Insulation,1.2380542767933334,3.477486900100407
11,New Construction,Masonry,77.62468147059562,11.833839949297602
11,New Construction,Other,0.010542365907017544,0.029940319175929826
11,New Construction,Other metals,0.0021990367592982455,0.00923480659323421
11,New Construction,Steel,102.56181832375667,198.92138836748475
110,New Construction,Acoustic ceilings,1.0794782353580246,1.6705390256282222
110,New Construction,Adhesives and sealants,0.06477805470611112,0.03313157301816852
110,New Construction,Air and vapor barriers,0.4811040471529012,0.5303797159431722
110,New Construction,Aluminum,2.6054724409201233,17.29578342158851
110,New Construction,Applied fireproofing,1.8364560447111111,2.0935598909706665
110,New Construction,Cladding,5.743011539403765,8.490564513493108
110,New Construction,Coatings,0.9429998933214815,3.6858540035757748
110,New Construction,Concrete,941.2605698251816,161.65170330306012
110,New Construction,Doors and frames,4.204726055495865,14.227594032573096
110,New Construction,Flooring and tile,2.566144539738642,4.551006778010735
110,New Construction,Glazing,1.8161934871037038,2.437302582160074
110,New Construction,Gypsum,70.16638039375309,15.12935713485405
110,New Construction,Insulation,2.716646576725741,31.3223116927131
110,New Construction,Masonry,2.0619068609746294,0.5688666527531232
110,New Construction,Other metals,0.07058753465487655,0.3332870355290901
110,New Construction,Roofing and waterproofing,0.3087799021234568,1.0907752424980186
110,New Construction,Steel,99.28136591122599,141.76530645979946
110,New Construction,Synthetic composites,0.0037201778753086423,0.015289931067518518
110,New Construction,Wall coverings,0.003656221393395062,0.07208663649508272
110,New Construction,Windows and frames,0.8232771338985184,8.232771338985186
110,New Construction,Wood and composites,1.8687398507602468,1.0551851307814717
111,New Construction,Acoustic ceilings,0.25577383249845237,0.5476387158799536
111,New Construction,Adhesives and sealants,0.11569566026630952,0.2852952696569214
