project_index,bldg_proj_type,mat_type,mui,eci
11,New Construction,Paint,0.25101032290570174,0.5995966501464807
11,New Construction,Precast,63.034885291228065,8.026135951209909
11,New Construction,Ready mix NW 4000,3.999616430087719,0.7000292227041508
11,New Construction,Ready mix NW 6000,1034.8810656178737,143.14485566781613
11,New Construction,Ready mix NW 8000,211.1654316,31.209867320142003
11,New Construction,Rebar and reinforcement,98.70856465521798,188.92333201302688
11,New Construction,Roll formed metal panel aluminum,0.010470735456052632,0.0676409510461
11,New Construction,Steel - other,0.08476268691140351,0.2178050604016228
11,New Construction,Steel door,0.1602093366614035,0.3497981057741404
11,New Construction,Steel door frame,0.01799397316491228,0.04948342620350877
11,New Construction,Steel sheet,0.10605043201754386,0.2470975066008772
11,New Construction,Stucco finish,0.21753173529824563,0.10419770120785966
11,New Construction,Suspension assembly,0.1093908959736842,0.26581987721605266
11,New Construction,Wood or composite door,0.8597759140991228,0.2754461277866184
110,New Construction,Acoustic ceiling tile fiber,0.8902739124222222,1.2107725208942222
110,New Construction,Adhesives and sealants,0.06477805470611112,0.03313157301816852
110,New Construction,Air and vapor barriers,0.4811040471529012,0.5303797159431722
110,New Construction,Aluminum - other,1.1747695388271606,6.602204808208642
110,New Construction,Aluminum door frame,0.047309287407407405,0.41395626481481484
110,New Construction,Aluminum sheet,0.02698422293030864,0.15165133286833457
110,New Construction,Aluminum storefront or curtain wall,0.8232771338985184,8.232771338985186
110,New Construction,Brick clay,1.225133412962963,0.35406355634629627
110,New Construction,Built up roofing,0.1755464416111111,0.9865710018544445
110,New Construction,CMU,0.21842668494444445,0.024463788713777777
110,New Construction,Carpet,0.18278643303086417,0.8225389486388889
110,New Construction,Ceramic tile,0.8242001227160494,0.21594043215160497
110,New Construction,Coatings - other,0.1409575630430864,1.7618287182090993
110,New Construction,Cold formed steel framing,10.303263398652469,25.24299532669855
110,New Construction,Doors and frames - other,0.7363848992674692,4.244209047207066
110,New Construction,Extruded polystyrene XPS,0.44023342865759263,28.59590313339266
110,New Construction,Extrusion,1.4037186791626544,10.541927280511533
110,New Construction,Fasteners,0.07040567545067901,0.33263052380193703
110,New Construction,Fiberglass blanket,0.037191329266234564,0.09599929899354877
110,New Construction,Flooring and tile - other,0.00560998392382716,0.007151327393061728
110,New Construction,Glass mat gypsum board,0.7434144559993827,0.35163503768770804
110,New Construction,Glazing - other,0.020018385783950616,0.030427946391604937
110,New Construction,Gypsum board,69.4229659377537,14.777722097166341
110,New Construction,Hardwood,1.0925149943034569,0.48239017657513583
110,New Construction,Hollow structural sections HSS,2.5858779686586417,6.335401023213674
110,New Construction,Hot-rolled sections,0.8775992779018519,0.8495161010089927
110,New Construction,Insulated glass unit IGU,1.796175101319753,2.406874635768469
110,New Construction,Mineral wool high density,1.091937128077222,1.396990957613134
110,New Construction,Mineral wool low density,0.9814623257246914,0.7989637064137568
110,New Construction,Modified bitumen,0.11755893574074074,0.09663344517888889
110,New Construction,Mortar and grout,0.5401340124598148,0.16632799325657502
110,New Construction,Paint,0.802042330278395,1.9240252853666753
110,New Construction,Plate,0.03252488277777778,0.07578297687222221
110,New Construction,Polyisocyanurate PIR,0.165822365,0.4344545963
110,New Construction,Precast,1.4620871308641976,0.22809399933490246
110,New Construction,Ready mix LW 4000,6.767174995888889,1.534747040056783
110,New Construction,Ready mix NW 4000,31.614143051234567,3.7647793973882404
110,New Construction,Ready mix NW 6000,486.95393074447793,78.37427346755234
110,New Construction,Ready mix NW 8000,414.46323390271607,77.74980939872785
110,New Construction,Rebar and reinforcement,81.69712005492765,99.38383903769615
110,New Construction,Resilient flooring vinyl,1.430722373962963,3.408910782840679
110,New Construction,Roll formed metal panel aluminum,1.2613003250681483,7.088507826882992
110,New Construction,Roofing and waterproofing - other,0.01567452477160494,0.007570795464685185
110,New Construction,Softwood framing,0.2547419979975309,0.04279665566358518
110,New Construction,Softwood plywood,0.10676105728641974,0.028184919123614812
110,New Construction,Spray applied cementitious,1.8364560447111111,2.0935598909706665
110,New Construction,Steel - other,3.746432805085371,9.695056734236536
110,New Construction,Steel door,2.9596769933925926,9.122513133868914
110,New Construction,Steel door frame,0.08222789171666667,0.2261267022208333
110,New Construction,Steel sheet,0.03854752322222223,0.18271526007333336
110,New Construction,Stone masonry,0.0782127506074074,0.024011314436474075
110,New Construction,Stone tile,0.12282562610493827,0.0964652869865
110,New Construction,Stucco finish,0.048105423533148145,0.12074461306820186
